interseccion,lat,lon,tipo,hora_matutino,vehiculos_matutino,ciclistas_matutino,peatones_matutino,hora_mediodia,vehiculos_mediodia,ciclistas_mediodia,peatones_mediodia,hora_vespertino,vehiculos_vespertino,ciclistas_vespertino,peatones_vespertino,nivel_servicio_color,nivel_servicio,demora_promedio,icu_maximo,vc_maxima,propuestas,fecha,dibujo_volumen,dibujo_propuesta,nivel_servicio_class
Alfonso Reyes Con Lomas Del Valle,25.645636,-100.380249,semaforizada,08:00 - 09:00,2644,32,4,13:30 - 14:30,3487,3,5,17:00 - 18:00,3414,85,2,#a88400,D,49.6,0.795,0.93,"Este cruce presenta una demora moderada, se observan filas a lo largo de la Av. Alfonso Reyes, en su rama oriente, durante el turno vespertino, el resto del día presenta una operación estable con corta demora promedio. Se recomienda mejorar señalamiento horizontal faltante, ver figura anexa al final del reporte.",05/02/2020,f53-1,f154-1,D - E
Alfonso Reyes Con Rio Suchiate,25.6461408,-100.381665,semaforizada,08:30 - 09:30,2431,31,1,13:15 - 14:15,2958,4,3,17:30 - 18:30,2902,83,1,#7cde0d,B,13.1,0.56,0.74,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone ampliar las esquinas norte y sur de Río Suchiate y construir un camellón central en la rama poniente de Alfonso Reyes, asimismo, es necesario colocar el señalamiento horizontal faltante, ver figura anexa al final del reporte.",04/02/2020,f54-1,f155-1,A - C
Alfonso Reyes Con Olimpiadas,25.64803311,-100.3861174,semaforizada,07:30 - 08:30,2557,34,8,13:15 - 14:15,2999,2,1,17:30 - 18:30,3058,84,6,#7cde0d,B,18.6,0.661,0.91,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone el rediseño del acceso a la calle Santa Martha, este es muy amplio y permite salir, con maniobra prohibida, hacia el oriente de Alfonso Reyes o el norte de Cuauhtémoc. Asimismo, es necesario mejorar el señalamiento horizontal, ver plano anexo al final de este reporte.",04/02/2020,f55-1,f156-1,A - C
Alfonso Reyes Con Plutarco Elias Calles,25.64792609,-100.384943,semaforizada,08:15 - 09:15,218,12,100,12:15 - 13:15,339,2,63,17:30 - 18:30,356,7,90,#00a806,A,9.1,0.267,0.2,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone el cambio de sección vial de Plutarco Elías Calles, debajo del puente, esta zona presenta escasa banqueta y la calle es mayor a los 7.0 metros, asimismo, se requieren mejoras al señalamiento horizontal, ver plano anexo al final de este reporte.",02/06/2020,f56-1,f157-1,A - C
Alfonso Reyes Con Neil Armstrong,25.6512606,-100.392396,semaforizada,07:15 - 08:15,2719,38,7,13:15 - 14:15,3029,1,2,17:45 - 18:45,3046,101,3,#7cde0d,B,14.1,0.618,0.62,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone el cambio en la geometría de la esquina sur-poniente, la cual presenta un amplio radio de giro, asimismo, se requieren mejoras al señalamiento horizontal, ver plano anexo al final de este reporte.",12/02/2020,f57-1,f158-1,A - C
Alfonso Reyes Con Guillermo Prieto,25.6524647,-100.395754,semaforizada,07:15 - 08:15,2868,40,7,13:30 - 14:30,3402,2,1,18:30 - 19:30,3440,103,3,#7cde0d,B,16.6,0.72,0.88,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone el cambio en la zona sur de la intersección, se podrán cambiar los radios de giro y cancelar isletas. Asimismo, se deberá colocar un camellón central sobre Alfonso Reyes para evitar vueltas izquierdas prohibidas. Se requieren mejoras al señalamiento horizontal, ver plano anexo al final de este reporte.",12/02/2020,f58-1,f159-1,A - C
Alfonso Reyes Con Matamoros,25.6536038,-100.399341,semaforizada,08:00 - 09:00,2564,42,19,13:30 - 14:30,2944,6,6,17:15 - 18:15,2983,103,18,#00a806,A,5.9,0.614,0.69,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone la construcción de un camellón central sobre Alfonso Reyes para evitar vueltas izquierdas prohibidas. Se requieren mejoras al señalamiento horizontal, ver plano anexo al final de este reporte.",14/02/2020,f59-1,f160-1,A - C
Alfonso Reyes Con Genaro Garza Garcia,25.653936,-100.40022,semaforizada,08:00 - 09:00,2494,41,12,13:30 - 14:30,2984,5,7,17:15 - 18:15,2951,99,13,#ded70d,C,22.4,0.614,0.66,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se propone la construcción del carril para la vuelta izquierda hacia el sur de Genaro Garza García, asimismo, será necesarias las mejoras al señalamiento horizontal indicadas en el plano anexo al final de este reporte.",14/02/2020,f60-1,f161-1,A - C
Alfonso Reyes Con Monte Falco,25.6544794,-100.401997,semaforizada,08:00 - 09:00,2561,41,52,13:30 - 14:30,2962,6,28,17:15 - 18:15,3026,99,13,#ded70d,C,21.8,0.632,0.83,"Se requiere modificar la capacidad de almacenamiento del carril de vuelta izquierda hacia Montefalco, mínimo a 60 metros de espacio. Asimismo, se recomienda cancelar las vueltas derechas continuas ubicadas al sur de la intersección y mejorar el señalamiento horizontal existente, ver figura anexa al final de este reporte.",14/02/2020,f61-1,f162-1,A - C
Alfonso Reyes Con Manuel Gonzalez,25.6551818,-100.403727,semaforizada,08:00 - 09:00,2370,40,7,13:30 - 14:30,2597,6,6,17:15 - 18:15,2659,92,8,#7cde0d,B,14.8,0.639,0.7,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberá colocar el señalamiento horizontal faltante, tal es el caso de líneas de alto, flechas direccionales o franjas peatonales.",18/02/2020,f62-1,f163-1,A - C
Alfonso Reyes Con Benito Juarez,25.656125,-100.406415,semaforizada,07:30 - 08:30,2313,37,2,13:30 - 14:30,2586,6,2,17:15 - 18:15,2714,90,8,#00a806,A,7.6,0.588,0.65,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberá colocar el señalamiento horizontal faltante, tal es el caso de líneas de alto, flechas direccionales o franjas peatonales.",18/02/2020,f63-1,f164-1,A - C
Alfonso Reyes Con Corregidora,25.6566337,-100.407889,semaforizada,07:30 - 08:30,2586,36,3,13:30 - 14:30,2695,5,4,17:15 - 18:15,2903,92,7,#7cde0d,B,19.5,0.643,0.72,"Se recomienda modificar la geometría de la intersección, los peatones se encuentran desprotegidos en algunas de las ramas que la componen. El rediseño propuesto modifica las ramas oriente y poniente de Alfonso Reyes y el señalamiento horizontal de la intersección, se presentan dos propuestas al final de este reporte.",20/02/2020,f64-1,f165-1,A - C
Alfonso Reyes Con Las Sendas,25.6573628,-100.410073,semaforizada,08:00 - 09:00,3137,36,7,13:00 - 14:00,2988,6,1,18:30 - 19:30,2975,87,3,#ded70d,C,20.2,0.623,0.79,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberá colocar el señalamiento horizontal faltante, tal es el caso de líneas de alto, flechas direccionales o franjas peatonales.",21/02/2020,f65-1,f166-1,A - C
Alfonso Reyes Con Jimenez,25.65785395,-100.4113816,semaforizada,07:15 - 08:15,3733,34,67,12:45 - 13:45,2981,6,24,18:30 - 19:30,3527,85,98,#ded70d,C,25.6,0.905,0.93,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberá colocar el señalamiento horizontal faltante, tal es el caso de líneas de alto, flechas direccionales o franjas peatonales. A largo plazo, será necesario ampliar la sección vial sur de Alfonso Reyes, esta deberá contar con 3 carriles de circulación en el sentido poniente a oriente y un carril para la vuelta izquierda hacia el norte de Jiménez.",21/02/2020,f66-1,f167-1,A - C
Jose Vasconcelos Con Zaragoza,25.6613015,-100.3999431,semaforizada,08:30 - 09:30,1520,1,121,13:15 - 14:15,1797,8,122,18:30 - 19:30,2267,3,49,#00a806,A,4.3,0.53,0.47,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda ampliar las esquinas de la intersección para protección del peatón, se deberán quitar delineadores instalados, pintar marcas horizontales faltantes y colocar semáforos peatonales.",15/06/2020,f67-1,f168-1,A - C
Jose Vasconcelos Con Treviño,25.660998,-100.3990452,semaforizada,08:30 - 09:30,1858,0,77,13:15 - 14:15,2243,8,82,18:30 - 19:30,2489,3,73,#00a806,A,4.4,0.565,0.58,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda ampliar las esquinas de la intersección para protección del peatón, se deberán quitar delineadores instalados, pintar marcas horizontales faltantes y colocar semáforos peatonales.",16/06/2020,f68-1,f169-1,A - C
Jose Vasconcelos Con Genaro Garza Garcia,25.660406,-100.3972882,semaforizada,08:30 - 09:30,1969,1,29,12:45 - 13:45,2394,7,21,18:30 - 19:30,2608,3,26,#00a806,A,6.8,0.543,0.59,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda ampliar las esquinas de la intersección para protección del peatón, se deberán quitar delineadores instalados, pintar marcas horizontales faltantes y colocar semáforos peatonales.",16/06/2020,f69-1,f170-1,A - C
Jose Vasconcelos Con Matamoros,25.6601039,-100.3963868,semaforizada,08:30 - 09:30,1931,1,61,12:45 - 13:45,2399,7,47,18:30 - 19:30,2595,1,49,#00a806,A,4.5,0.56,0.59,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda ampliar las esquinas de la intersección para protección del peatón, se deberán quitar delineadores instalados, pintar marcas horizontales faltantes y colocar semáforos peatonales.",17/06/2020,f70-1,f171-1,A - C
Jose Vasconcelos Con Santa Barbara,25.6592674,-100.3936923,semaforizada,08:30 - 09:30,2843,2,65,12:45 - 13:45,3356,8,38,18:30 - 19:30,3625,3,47,#ded70d,C,24.7,0.789,0.9,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda construir camellones centrales en la rama oriente y poniente de Vasconcelos, estos sirven como descanso al peatón y evitar vueltas izquierdas prohibidas. Asimismo, se requiere colocar el señalamiento horizontal tal y como se indica en la figura anexa al final de este reporte.",17/06/2020,f71-1,f172-1,A - C
Jose Vasconcelos Con Manuel Doblado,25.65839858,-100.3920021,semaforizada,08:30 - 09:30,2350,0,34,12:45 - 13:45,2766,7,32,18:30 - 19:30,2965,1,43,#00a806,A,3.5,0.644,0.62,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda ampliar las esquinas en la zona sur de la intersección para protección del peatón, se deberá pintar marcas horizontales faltantes y colocar semáforos peatonales.",17/06/2020,f72-1,f173-1,A - C
Jose Vasconcelos Con Conquistadores,25.6562642,-100.3877767,semaforizada,08:30 - 09:30,2574,2,78,12:45 - 13:45,3212,6,88,18:30 - 19:30,3460,4,87,#7cde0d,B,16.6,1.003,0.8,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberán colocar los semáforos peatonales, colocar las isletas para cruce peatonal en la franja divisoria de Vasconcelos y pintar las marcas horizontales faltantes, de acuerdo al plano anexo al final de este reporte.",18/06/2020,f73-1,f174-1,A - C
Jose Vasconcelos Con Humberto Lobo,25.65523998,-100.3852427,semaforizada,08:30 - 09:30,3684,1,293,12:45 - 19:45,4355,6,119,18:30 - 19:30,4721,0,226,#f54242,F,94.2,0.894,1.57,"Este cruce presenta una operación con nivel de servicio F, se observan filas a lo largo de las ramas norte y sur de la intersección, algunas veces debes esperar un segundo ciclo para poder salir del cruce. Se recomienda revisar el diseño de la zona sur de la intersección, la cual pertenece a El Rosario, se recomienda el rediseño para mejorar aspectos de seguridad vial y peatonal. Asimismo, es necesario colocar camellones centrales en Vasconcelos para facilitar el cruce peatonal. Ver figura anexa al final de este reporte.",31/01/2020,f74-1,f175-1,F
Jose Vasconcelos Con Rio Tamesis,25.6547355,-100.3832654,semaforizada,08:30 - 09:30,2479,7,99,12:45 - 13:45,2850,0,68,17:30 - 18:30,2614,2,65,#7cde0d,B,12.3,0.563,0.67,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberán colocar los semáforos peatonales, colocar las isletas para cruce peatonal en la franja divisoria de Vasconcelos y pintar las marcas horizontales faltantes, de acuerdo al plano anexo al final de este reporte.",18/06/2020,f75-1,f176-1,A - C
Jose Vasconcelos Con Plutarco Elias Calles,25.6537106,-100.3810531,semaforizada,08:30 - 09:30,2528,5,74,12:45 - 13:45,2873,0,36,17:30 - 18:30,2772,4,80,#00a806,A,7.3,0.543,0.59,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberán colocar los semáforos peatonales, colocar las isletas para cruce peatonal en la franja divisoria de Vasconcelos y pintar las marcas horizontales faltantes, de acuerdo al plano anexo al final de este reporte.",18/06/2020,f76-1,f177-1,A - C
Jose Vasconcelos Con Rio Suchiate,25.65263767,-100.3789437,semaforizada,08:30 - 09:30,2771,7,61,12:45 - 13:45,3200,2,48,17:00 - 18:00,3005,3,60,#7cde0d,B,13.5,0.59,0.67,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberán colocar los semáforos peatonales, colocar las isletas para cruce peatonal en la franja divisoria de Vasconcelos y pintar las marcas horizontales faltantes, de acuerdo al plano anexo al final de este reporte.",18/06/2020,f77-1,f178-1,A - C
Jose Vasconcelos Con Lomas Del Valle,25.6522007,-100.3778948,semaforizada,08:30 - 09:30,2779,5,39,12:45 - 13:45,3270,1,32,17:15 - 18:15,3036,3,38,#a88400,D,35,0.72,0.77,"Este cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberán colocar los semáforos peatonales, colocar las isletas para cruce peatonal en la franja divisoria de Vasconcelos y pintar las marcas horizontales faltantes, de acuerdo al plano anexo al final de este reporte.",18/06/2020,f78-1,f179-1,D - E
Jose Vasconcelos Con Calzada San Pedro,25.65154892,-100.3718072,semaforizada,08:15 - 09:15,3383,2,14,12:45 - 13:45,3827,0,8,17:00 - 18:00,3927,8,18,#a88400,D,50,0.981,1.15,"Los peatones presentan problemas para el recorrido en este cruce, algunas zonas son muy angostas, otras no cuentan con franjas peatonales. Se recomienda el rediseño del señalamiento horizontal de la intersección y mejoras al retorno ubicado al sur del cruce. Ver figura anexa al final de este reporte.",25/10/2019,f79-1,f180-1,D - E
Jose Vasconcelos Con Jeronimo Siller,25.6518289,-100.3658824,semaforizada,08:30 - 09:30,2050,1,47,12:45 - 13:45,2525,2,26,17:15 - 18:15,2431,1,59,#7cde0d,B,15.6,0.819,0.77,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberán colocar los semáforos peatonales y pintar las marcas horizontales faltantes, de acuerdo al plano anexo al final de este reporte.",19/06/2020,f80-1,f181-1,A - C
Jose Vasconcelos Con Rio Moctezuma,25.6520757,-100.3643882,semaforizada,08:00 - 09:00,2260,1,59,13:30 - 14:30,2596,3,31,17:30 - 18:30,2473,1,63,#7cde0d,B,17.9,0.641,0.7,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se deberán colocar los semáforos peatonales y pintar las marcas horizontales faltantes, de acuerdo al plano anexo al final de este reporte. Asimismo, se recomienda el rediseño de la rama de acceso a la calle Río Sena, donde se puede ajustar el radio de giro de entrada y ampliar sus banquetas para mejorar el cruce peatonal.",19/06/2020,f81-1,f182-1,A - C
Calzada Del Valle Con Rio Moctezuma,25.65524999,-100.3632643,semaforizada,08:00 - 09:00,4044,0,384,13:15 - 14:15,4604,2,117,17:00 - 18:00,4587,0,98,#7cde0d,B,16,1.003,0.73,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda el rediseño de la zona central de la intersección, particularmente en el camellón central, este espacio puede ser rediseñado para reducir la distancia de circulación de los 336 peatones que utilizan ese tramo durante una hora, es factible cancelar el retorno poniente del cruce y cambiar la apertura del camellón de 5 a 3 carriles de circulación. Ver figura anexa al final de este reporte.",05/09/2019,f82-1,f183-1,A - C
Calzada Del Valle Con Rio Tamazunchale,25.65608956,-100.3661202,semaforizada,08:00 - 09:00,3730,2,469,13:15 - 14:15,4201,0,180,17:00 - 18:00,4387,0,140,#7cde0d,B,11,1.004,0.76,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda el rediseño de la zona central de la intersección, particularmente en el camellón central, este espacio puede ser rediseñado para reducir la distancia de circulación de los 394 peatones que utilizan ese tramo durante una hora, es factible cancelar el retorno oriente del cruce y cambiar la apertura del camellón de 5 a 3 carriles de circulación. Ver figura anexa al final de este reporte.",05/09/2019,f83-1,f184-1,A - C
Calzada Del Valle Con Rio Suchiate,25.65920332,-100.3769394,semaforizada,08:30 - 09:30,3018,3,521,13:15 - 14:15,3315,0,193,17:45 - 18:45,3875,1,161,#7cde0d,B,14,0.862,0.75,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda el rediseño de la zona central de la intersección, particularmente en el camellón central, este espacio puede ser rediseñado para reducir la distancia de circulación de los 484 peatones que utilizan ese tramo durante una hora, es factible cancelar el retorno poniente del cruce y cambiar la apertura del camellón de 5 a 3 carriles de circulación. Ver figura anexa al final de este reporte.",05/09/2019,f84-1,f185-1,A - C
Rio Mississippi Con Rio Tamazunchale,25.658303,-100.365325,semaforizada,08:00 - 09:00,1227,1,120,13:00 - 14:00,1877,0,105,17:45 - 18:45,1700,0,109,#7cde0d,B,16.5,0.701,0.8,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda el rediseño de la zona poniente de la intersección, esta es muy amplia y no requerida para el flujo vehicular esperado, esta puede ser reducida de casi 5 carriles que tiene actualmente a 2 carriles de circulación mas estacionamiento, asimismo, se requieren modificaciones al señalamiento horizontal existente, ver figura anexa al final de este reporte.",02/06/2020,f85-1,f186-1,A - C
Calzada Del Valle Con Humberto Lobo,25.66093579,-100.3829665,semaforizada,08:30 - 09:30,4342,5,118,12:30 - 13:30,4763,0,99,17:00 - 18:00,4785,1,101,#7cde0d,B,17,0.782,0.89,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda el rediseño de la zona central de la intersección, particularmente en el camellón central, este espacio puede ser rediseñado para aumentar el espacio de camellón central y reducir la distancia de circulación peatonal. Se observa una muy escasa utilización de la zona poniente de la calzada, esta es de difícil acceso para el peatón ubicado en la zona oriente de la vialidad.",05/09/2019,f86-1,f187-1,A - C
Humberto Lobo Con Rio De La Plata,25.6619336,-100.3827032,semaforizada,08:30 - 09:30,2362,1,64,12:30 - 13:30,2660,4,66,17:15 - 18:15,2849,1,100,#7cde0d,B,19.6,0.522,0.85,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Esta zona fue recientemente rediseñada por las autoridades municipales, sólo se recomienda repintar las líneas horizontales, tales como cruces peatonales, líneas de alto y flechas direccionales.",17/12/2019,f87-1,f188-1,A - C
Humberto Lobo Con Rio Madeira,25.66381156,-100.3817746,semaforizada,08:30 - 09:30,2332,0,82,12:45 - 13:45,1578,0,65,17:30 - 18:30,1302,2,100,#7cde0d,B,11.7,0.629,0.53,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Esta zona fue recientemente rediseñada por las autoridades municipales, sólo se recomienda repintar las líneas horizontales, tales como cruces peatonales, líneas de alto y flechas direccionales. Se deberá rediseñar la zona central del camellón de Humberto Lobo, el peatón se encuentra desprotegido, sin franjas peatonales, semáforo peatonal o cruce elevado el cual pueda indicar al conductor del posible cruce de peatones.",17/12/2019,f88-1,f189-1,A - C
Humberto Lobo Con Manuel Santos,25.66560582,-100.3808542,semaforizada,07:45 - 08:45,2905,1,250,13:30 - 14:30,3442,6,68,17:00 - 18:00,3878,0,192,#a88400,D,42.8,0.797,1.04,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda la construcción de un camellón en Manuel Santos para reducir distancia peatonal, prolongar camellón sur en Humberto Lobo y mejorar señalamiento horizontal. Es necesario colocar señalamiento de carril exclusivo de vuelta derecha para el cuarto carril en el sentido norte-sur de Humberto Lobo. Ver dibujo anexo al final del reporte.",17/12/2019,f89-1,f190-1,D - E
Calzada San Pedro Con Fuentes Del Valle,25.66533504,-100.3683481,semaforizada,08:30 - 09:30,3394,1,206,13:30 - 14:30,3060,0,57,17:45 - 18:45,4195,0,143,#a88400,D,46,0.922,1.06,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda colocar semáforo en el cruce ubicado al sur-poniente del conjunto de intersecciones, el peatón que lo utiliza no es protegido, resultando en riesgos. Asimismo, se recomiendan mejoras al señalamiento horizontal, indicando ubicación de cruces peatonales a nivel. Ver dibujo anexo al final del reporte.",03/08/2020,f90-1,f191-1,D - E
Calzada San Pedro Con Rio Missouri,25.6625178,-100.368544,semaforizada,08:30 - 09:45,2516,1,106,13:30 - 14:30,2086,0,46,17:45 - 18:45,2914,2,74,#00a806,A,8,0.451,0.69,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda acortar la apertura del camellón central y rediseñar las esquinas con amplio radio de giro, no se requiere la sección vial existente y el radio de giro permite vuelta izquierda a alta velocidad.",02/06/2020,f91-1,f192-1,A - C
Calzada San Pedro Con Rio Amazonas,25.66150976,-100.3688396,semaforizada,08:30 - 09:30,2328,0,119,13:30 - 14:30,2105,0,49,17:15 - 18:15,2754,1,95,#00a806,A,9,0.393,0.64,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda rediseñar las esquinas ubicadas al sur del camellón central y construir una barrera divisoria entre el retorno norte y el flujo oriente-poniente de la intersección, asimismo, es necesario colocar la pintura horizontal tal y como se indica en el dibujo anexo al final de este reporte.",02/06/2020,f92-1,f193-1,A - C
Calzada San Pedro Con Rio Mississippi,25.6595277,-100.369509,semaforizada,08:30 - 09:30,2743,0,229,13:30 - 14:30,2790,0,118,17:15 - 18:15,3484,1,223,#7cde0d,B,19,0.857,0.71,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda rediseñar las esquinas ubicadas al sur y norte del camellón central, esto ayuda a mejorar la visibilidad y reduce la distancia de recorrido del peatón. Es necesario colocar la pintura horizontal tal y como se indica en el dibujo anexo al final de este reporte.",02/06/2020,f93-1,f194-1,A - C
Calzada San Pedro Con Rio Volga,25.65506281,-100.3711067,semaforizada,08:30 - 09:30,1964,3,138,13:00 - 14:00,3028,0,75,17:15 - 18:15,2908,1,96,#7cde0d,B,18,0.477,0.66,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda rediseñar las esquinas ubicadas al sur y norte del camellón central, esto ayuda a mejorar la visibilidad y reduce la distancia de recorrido del peatón. Es necesario colocar la pintura horizontal tal y como se indica en el dibujo anexo al final de este reporte.",05/12/2019,f94-1,f195-1,A - C
Santa Barbara Con Callejon De Los Ayala,25.66388592,-100.3910848,semaforizada,08:30 - 09:30,1270,1,21,13:30 - 14:30,1534,4,4,18:15 - 19:15,1604,1,12,#ded70d,C,23.7,0.47,0.79,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda colocar el señalamiento horizontal faltante, tal y como se indica en la figura anexa al final de este reporte.",22/06/2020,f95-1,f196-1,A - C
Santa Barbara Con Callejon De Capellania,25.66539235,-100.3898037,semaforizada,08:30 - 09:30,1018,11,9,13:00 - 14:00,1119,2,2,17:30 - 14:30,1324,7,13,#ded70d,C,31.9,0.499,0.9,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda colocar el señalamiento horizontal faltante, tal y como se indica en la figura anexa al final de este reporte.",22/06/2020,f96-1,f197-1,A - C
Morones Prieto Con Jimenez ,25.66678005,-100.4082197,semaforizada,08:30 - 09:30,1690,7,99,13:30 - 14:30,1391,0,34,18:30 - 19:30,1880,0,111,#00a806,A,7,0.566,0.56,"El cruce presenta una operación estable, no requiere cambios en cuanto a su capacidad. Se recomienda analizar la opción de retirar el semáforo de este cruce, este opera como rotonda y podría funcionar adecuadamente sin la presencia de un dispositivo semafórico. Con señales de alto, donde para algunos puntos se requiere alto en todos los sentidos, el cruce podría operar con nivel de servicio B, con cortas demoras.",30/06/2020,f97-1,f198-1,A - C
Calzada Del Valle Con Calzada San Pedro,25.6572916,-100.370311,rotonda,08:00 - 09:00,4342,4,183,13:15 - 14:15,4891,4,36,17:45 - 18:45,5998,2,56,#f54242,F,100,1.152,1.62,"La rotonda presenta problemas de capacidad durante su periodo vespertino, con nivel de servicio F y largas filas en la rama oriente, las cuales llegan a bloquear algunas intersecciones a lo largo de la vía. Se recomienda la semaforización de la intersección, tanto para agilizar el flujo de salida como para permitir el cruce de peatones, los cuales deben realizar largos recorridos para pasar de una zona a otra. La semaforización mantiene niveles de servicios, no disminuye demora, sólo reduce la probabilidad de accidentes y la necesidad de oficiales de tránsito durante horarios pico.",06/09/2019,f98-1,f199-1,F
Alfonso Reyes Con Ricardo Margain,25.642237,-100.352639,rotonda,08:30 - 09:30,3237,46,5,13:30 - 14:30,3401,12,3,17:30 - 18:30,3824,80,2,#f54242,F,221.5,1.261,2.19,"La rotonda presenta problemas de capacidad durante su periodo vespertino, con nivel de servicio F y largas filas en la rama sur, con altas demoras para los conductores. Este cruce opera a nivel de saturación y no es factible su ampliación, la semaforización podría ser una opción, sin embargo se tendrían problemas de visibilidad para el sentido poniente-oriente, el cual ingresa al cruce por medio de una curva horizontal muy cercana a la rotonda. El cambio propuesto, anexo al final de este reporte, facilita el cruce peatonal y mejora problemas de seguridad propios del diseño existente.",29/11/2019,f99-1,f200-1,F
Rufino Tamayo Con Frida Kahlo,25.647284,-100.323704,semaforizada,07:30 - 08:30,2614,0,30,13:30 - 14:30,3314,0,35,18:15 - 19:15,2794,1,21,#ded70d,C,29.5,0.834,0.87,"Este cruce presenta una operación estable, no requiere alguna modificación en cuanto a capacidad. Se recomienda mejorar el diseño del señalamiento vial existente, este se encuentra deteriorado o faltan importantes líneas tales como cruces peatonales, líneas de alto o líneas para cambio de carril. El diseño existente es confuso, es necesario el retiro del circulo central y mejora a la carpeta asfáltica.",15/01/2020,f100-1,f201-1,A - C
Roble Con Blvd. Botanica,25.65015003,-100.3573737,semaforizada,08:00 - 09:00,1890,0,53,13:30 - 14:30,1272,0,65,17:45 - 18:45,1161,1,48,#00a806,A,7.7,0.567,0.66,"Este cruce presenta una operación estable, no requiere alguna modificación en cuanto a capacidad. Se recomienda quitar la fase exclusiva para peatones, esta es poco utilizada y aumenta demoras vehiculares.",27/11/2019,f101-1,f202-1,A - C
